timestamp,machine_id,temperature,vibration,humidity,pressure,energy_consumption,machine_status,anomaly_flag,predicted_remaining_life,failure_type,downtime_risk,maintenance_required
1/2/2025 10:14,128,62.07,34.65,57.16,4.86,2.03,1,0,295,Normal,0.0,0
1/21/2025 13:27,121,62.13,45.42,31.08,3.0,1.68,1,0,158,Normal,0.0,0
1/23/2025 3:02,142,66.31,48.67,72.94,3.92,4.65,0,0,386,Normal,0.0,0
1/27/2025 22:06,105,81.49,51.91,63.53,4.98,3.05,1,0,237,Normal,0.0,0
2/2/2025 3:03,149,89.08,72.87,68.4,4.97,1.93,1,0,36,Normal,0.0,0
2/9/2025 1:22,142,67.83,74.44,46.89,3.69,2.25,1,0,331,Normal,0.0,0
3/9/2025 1:14,111,81.48,70.09,74.92,1.62,3.32,1,0,302,Normal,0.0,0
1/18/2025 9:01,147,66.54,39.48,59.29,4.87,4.23,1,0,486,Normal,0.0,0
2/7/2025 14:36,124,76.11,63.89,49.07,2.13,2.05,1,0,484,Normal,0.0,0
1/8/2025 14:02,123,62.49,75.64,72.38,3.14,4.7,1,0,199,Normal,0.0,0
2/20/2025 17:57,117,91.46,71.63,54.32,4.46,1.65,1,1,39,Normal,1.0,1
1/25/2025 12:55,137,76.93,29.65,44.28,1.41,3.63,1,0,38,Normal,0.0,0
1/20/2025 11:38,123,55.91,38.74,38.64,4.66,4.51,1,0,205,Normal,0.0,0
2/5/2025 15:09,133,64.5,24.95,54.76,4.24,2.61,2,0,212,Vibration Issue,0.0,1
3/2/2025 23:22,148,73.23,39.7,65.25,2.5,3.3,1,0,254,Normal,0.0,0
2/3/2025 18:10,105,66.41,40.19,43.84,1.36,1.7,1,0,36,Normal,0.0,0
2/22/2025 4:30,110,82.71,49.07,39.12,2.92,0.83,1,0,67,Normal,0.0,0
2/8/2025 23:37,144,87.55,59.31,77.62,1.14,2.74,2,0,471,Vibration Issue,0.0,1
2/25/2025 5:48,103,79.1,64.21,46.35,1.47,2.89,1,0,420,Normal,0.0,0
1/13/2025 7:54,102,85.45,47.6,65.06,3.55,1.78,1,0,216,Normal,0.0,0
2/3/2025 16:22,141,69.52,48.18,35.47,4.69,3.08,2,0,192,Electrical Fault,0.0,1
1/17/2025 11:14,113,76.34,47.78,77.94,3.14,2.9,1,0,95,Normal,0.0,0
3/6/2025 5:09,141,76.64,44.0,37.98,4.77,2.52,1,0,133,Normal,0.0,0
2/13/2025 10:14,102,75.11,62.03,47.0,2.81,4.73,1,0,57,Normal,0.0,0
2/21/2025 15:10,114,66.13,42.18,34.41,4.93,4.25,0,0,105,Normal,0.0,0
3/5/2025 6:12,135,78.87,48.98,60.11,4.86,4.94,1,0,231,Normal,0.0,0
1/20/2025 15:31,118,77.5,37.98,70.54,2.34,0.98,1,0,163,Normal,0.0,0
1/7/2025 2:17,106,68.68,48.14,42.74,1.1,1.97,1,0,372,Normal,0.0,0
3/1/2025 18:42,113,60.6,49.02,50.87,2.03,2.14,1,0,145,Normal,0.0,0
2/20/2025 7:36,136,87.63,58.2,53.7,1.21,2.66,1,0,63,Normal,0.0,0
2/11/2025 5:30,118,71.51,61.37,78.52,3.7,4.45,1,0,438,Normal,0.0,0
2/23/2025 5:48,134,69.13,52.14,31.8,1.26,1.78,1,0,292,Normal,0.0,0
1/13/2025 10:55,141,82.4,57.49,78.16,3.41,2.78,1,0,22,Normal,0.0,0
3/3/2025 4:34,142,82.94,83.05,48.65,3.63,2.14,1,1,1,Normal,1.0,1
2/12/2025 13:31,125,71.01,36.91,59.14,2.4,3.37,2,0,63,Vibration Issue,0.0,1
1/27/2025 7:18,131,69.92,64.64,48.29,4.79,0.7,1,0,242,Normal,0.0,0
2/22/2025 3:14,141,66.04,58.19,47.54,2.43,2.73,1,0,99,Normal,0.0,0
2/2/2025 19:33,109,81.19,26.78,30.81,3.4,0.67,1,0,341,Normal,0.0,0
2/10/2025 8:21,113,75.01,40.67,31.97,2.15,3.14,1,0,305,Normal,0.0,0
2/18/2025 10:05,119,83.52,48.54,40.21,3.87,4.84,1,0,313,Normal,0.0,0
2/7/2025 2:06,127,68.92,54.46,42.03,4.15,2.11,1,0,480,Normal,0.0,0
2/9/2025 0:33,136,57.42,61.34,65.79,3.59,3.37,0,0,277,Normal,0.0,0
1/12/2025 17:42,131,56.91,62.03,50.36,3.92,3.97,0,0,106,Normal,0.0,0
2/18/2025 15:13,109,76.81,68.74,79.61,2.23,1.71,1,0,321,Normal,0.0,0
1/22/2025 20:59,131,87.42,58.67,31.38,3.31,1.76,1,0,120,Normal,0.0,0
1/17/2025 23:24,130,83.54,55.74,65.89,3.46,3.25,2,0,302,Overheating,0.0,1
1/5/2025 18:14,148,80.25,47.04,74.18,1.74,2.6,1,0,135,Normal,0.0,0
